GameID,DateGame,VisitorTeam,HomeTeam,ShotType,PlayerID,PlayerName,XCoord,YCoord,ShotDistance
201710180SAS,2017-10-18,MIN,SAS,fg2,murrade01,"Dejounte Murray",9,6,1.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,aldrila01,"LaMarcus Aldridge",41,253,25.00
201710180SAS,2017-10-18,MIN,SAS,fg2,greenda02,"Danny Green",5,180,18.00
201710180SAS,2017-10-18,MIN,SAS,fg3,gasolpa01,"Pau Gasol",44,247,25.00
201710180SAS,2017-10-18,MIN,SAS,fg2,gasolpa01,"Pau Gasol",-7,78,7.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,anderky01,"Kyle Anderson",-35,84,9.00
201710180SAS,2017-10-18,MIN,SAS,fg3,anderky01,"Kyle Anderson",228,27,22.00
201710180SAS,2017-10-18,MIN,SAS,fg2,greenda02,"Danny Green",-25,1,2.00
201710180SAS,2017-10-18,MIN,SAS,fg2,aldrila01,"LaMarcus Aldridge",-147,76,16.00
201710180SAS,2017-10-18,MIN,SAS,fg3,millspa02,"Patty Mills",-197,157,25.00
201710180SAS,2017-10-18,MIN,SAS,fg3,ginobma01,"Manu Ginobili",-147,214,25.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,lauvejo01,"Joffrey Lauvergne",75,0,7.00
201710180SAS,2017-10-18,MIN,SAS,fg3,aldrila01,"LaMarcus Aldridge",101,231,25.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",-143,74,16.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,lauvejo01,"Joffrey Lauvergne",-32,79,8.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",0,-6,0.00
201710180SAS,2017-10-18,MIN,SAS,fg2,ginobma01,"Manu Ginobili",-16,11,1.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,gayru01,"Rudy Gay",-83,105,13.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,lauvejo01,"Joffrey Lauvergne",11,12,1.00
201710180SAS,2017-10-18,MIN,SAS,fg2,gayru01,"Rudy Gay",-2,6,0.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,gasolpa01,"Pau Gasol",225,-17,22.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,gasolpa01,"Pau Gasol",-13,112,11.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,millspa02,"Patty Mills",-23,2,2.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,greenda02,"Danny Green",28,20,3.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,bertada01,"Davis Bertans",-16,312,31.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,greenda02,"Danny Green",124,52,13.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",-1,111,11.00
201710180SAS,2017-10-18,MIN,SAS,fg2,aldrila01,"LaMarcus Aldridge",-163,13,16.00
201710180SAS,2017-10-18,MIN,SAS,fg2,murrade01,"Dejounte Murray",-3,6,0.00
201710180SAS,2017-10-18,MIN,SAS,fg2,aldrila01,"LaMarcus Aldridge",-33,0,3.00
201710180SAS,2017-10-18,MIN,SAS,fg2,murrade01,"Dejounte Murray",105,-7,10.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,lauvejo01,"Joffrey Lauvergne",-3,48,4.00
201710180SAS,2017-10-18,MIN,SAS,fg2,greenda02,"Danny Green",-169,23,17.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,anderky01,"Kyle Anderson",0,0,0.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,gayru01,"Rudy Gay",-150,223,26.00
201710180SAS,2017-10-18,MIN,SAS,fg2,gasolpa01,"Pau Gasol",3,162,16.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,ginobma01,"Manu Ginobili",-11,256,25.00
201710180SAS,2017-10-18,MIN,SAS,fg2,aldrila01,"LaMarcus Aldridge",0,-6,0.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",-110,97,14.00
201710180SAS,2017-10-18,MIN,SAS,fg2,gayru01,"Rudy Gay",0,6,0.00
201710180SAS,2017-10-18,MIN,SAS,fg2,gayru01,"Rudy Gay",4,62,6.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",0,210,21.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,ginobma01,"Manu Ginobili",155,200,25.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,gasolpa01,"Pau Gasol",-12,8,1.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",0,-6,0.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,greenda02,"Danny Green",-182,158,24.00
201710180SAS,2017-10-18,MIN,SAS,fg2,anderky01,"Kyle Anderson",9,0,0.00
201710180SAS,2017-10-18,MIN,SAS,fg2,aldrila01,"LaMarcus Aldridge",3,8,0.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,anderky01,"Kyle Anderson",29,69,7.00
201710180SAS,2017-10-18,MIN,SAS,fg2,murrade01,"Dejounte Murray",9,15,1.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,greenda02,"Danny Green",131,214,25.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",55,200,20.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,anderky01,"Kyle Anderson",1,52,5.00
201710180SAS,2017-10-18,MIN,SAS,fg2,murrade01,"Dejounte Murray",2,20,2.00
201710180SAS,2017-10-18,MIN,SAS,fg2,greenda02,"Danny Green",-53,167,17.00
201710180SAS,2017-10-18,MIN,SAS,fg2,murrade01,"Dejounte Murray",-26,8,2.00
201710180SAS,2017-10-18,MIN,SAS,fg3,greenda02,"Danny Green",-80,231,24.00
201710180SAS,2017-10-18,MIN,SAS,fg2,aldrila01,"LaMarcus Aldridge",-81,37,8.00
201710180SAS,2017-10-18,MIN,SAS,fg2,lauvejo01,"Joffrey Lauvergne",9,68,6.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,ginobma01,"Manu Ginobili",13,142,14.00
201710180SAS,2017-10-18,MIN,SAS,fg2,anderky01,"Kyle Anderson",3,15,1.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,millspa02,"Patty Mills",-24,243,24.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,gayru01,"Rudy Gay",-93,3,9.00
201710180SAS,2017-10-18,MIN,SAS,fg2,lauvejo01,"Joffrey Lauvergne",13,15,1.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,ginobma01,"Manu Ginobili",-128,214,24.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,ginobma01,"Manu Ginobili",-128,214,24.00
201710180SAS,2017-10-18,MIN,SAS,fg2,gayru01,"Rudy Gay",110,16,11.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,gayru01,"Rudy Gay",-54,137,14.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,greenda02,"Danny Green",-22,25,3.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,greenda02,"Danny Green",13,258,25.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",-98,13,9.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",38,198,20.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,greenda02,"Danny Green",51,152,16.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,murrade01,"Dejounte Murray",0,-6,0.00
201710180SAS,2017-10-18,MIN,SAS,fg2,anderky01,"Kyle Anderson",-71,21,7.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,greenda02,"Danny Green",138,206,24.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",-81,92,12.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,gasolpa01,"Pau Gasol",-35,31,4.00
201710180SAS,2017-10-18,MIN,SAS,fg2,anderky01,"Kyle Anderson",-14,-1,1.00
201710180SAS,2017-10-18,MIN,SAS,fg3x,gasolpa01,"Pau Gasol",-65,239,24.00
201710180SAS,2017-10-18,MIN,SAS,fg2,murrade01,"Dejounte Murray",82,45,9.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,greenda02,"Danny Green",30,11,3.00
201710180SAS,2017-10-18,MIN,SAS,fg2,gayru01,"Rudy Gay",70,46,8.00
201710180SAS,2017-10-18,MIN,SAS,fg3,greenda02,"Danny Green",-227,-13,22.00
201710180SAS,2017-10-18,MIN,SAS,fg2,aldrila01,"LaMarcus Aldridge",6,1,0.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,aldrila01,"LaMarcus Aldridge",-6,8,1.00
201710180SAS,2017-10-18,MIN,SAS,fg3,greenda02,"Danny Green",-179,163,24.00
201710180SAS,2017-10-18,MIN,SAS,fg2x,millspa02,"Patty Mills",-52,138,14.00
201710180SAS,2017-10-18,MIN,SAS,fg2,aldrila01,"LaMarcus Aldridge",82,35,8.00